id;id_desa;id_kecamatan
1;null;null
2;null;null
3;null;3
4;null;4
5;null;5
6;null;6
7;null;7
8;null;8
9;null;9
10;null;10
11;null;11
12;null;12
13;null;13
14;null;14
15;null;15
16;null;16
17;null;17
18;null;18
19;null;19
20;null;20
21;null;21
22;null;22
23;null;23
24;null;24
25;null;25
26;null;26
27;null;27
28;null;28
29;null;29
30;null;30
31;null;31
32;null;32
33;null;33
34;null;34
35;null;35
36;null;36
37;null;37
38;null;38
39;null;39
40;null;40
41;null;41
42;null;42
43;43;3
44;44;3
45;45;3
46;46;3
47;47;3
48;48;3
49;49;3
50;50;3
51;51;3
52;52;3
53;53;3
54;54;3
55;55;3
56;56;4
57;57;4
58;58;4
59;59;4
60;60;4
61;61;4
62;62;4
63;63;4
64;64;4
65;65;4
66;66;4
67;67;4
68;68;4
69;69;5
70;70;5
71;71;5
72;72;5
73;73;5
74;74;5
75;75;5
76;76;5
77;77;5
78;78;5
79;79;5
80;80;5
81;81;5
82;82;5
83;83;6
84;84;6
85;85;6
86;86;6
87;87;6
88;88;6
89;89;6
90;90;6
91;91;6
92;92;7
93;93;7
94;94;7
95;95;7
96;96;7
97;97;7
98;98;7
99;99;7
100;100;7
101;101;8
102;102;8
103;103;8
104;104;8
105;105;8
106;106;8
107;107;8
108;108;8
109;109;8
110;110;8
111;111;9
112;112;9
113;113;9
114;114;9
115;115;9
116;116;9
117;117;9
118;118;9
119;119;9
120;120;9
121;121;9
122;122;9
123;123;10
124;124;10
125;125;10
126;126;10
127;127;10
128;128;10
129;129;10
130;130;10
131;131;10
132;132;10
133;133;10
134;134;10
135;135;10
136;136;10
137;137;11
138;138;11
139;139;11
140;140;11
141;141;11
142;142;11
143;143;11
144;144;11
145;145;11
146;146;11
147;147;12
148;148;12
149;149;12
150;150;12
151;151;12
152;152;12
153;153;12
154;154;12
155;155;12
156;156;12
157;157;13
158;158;13
159;159;13
160;160;13
161;161;13
162;162;13
163;163;13
164;164;13
165;165;13
166;166;13
167;167;14
168;168;14
169;169;14
170;170;14
171;171;14
172;172;14
173;173;14
174;174;14
175;175;14
176;176;14
177;177;14
178;178;14
179;179;14
180;180;15
181;181;15
182;182;15
183;183;15
184;184;15
185;185;15
186;186;15
187;187;15
188;188;15
189;189;15
190;190;15
191;191;15
192;192;16
193;193;16
194;194;16
195;195;16
196;196;16
197;197;16
198;198;16
199;199;16
200;200;16
201;201;16
202;202;17
203;203;17
204;204;17
205;205;17
206;206;17
207;207;17
208;208;17
209;209;17
210;210;17
211;211;17
212;212;17
213;213;17
214;214;18
215;215;18
216;216;18
217;217;18
218;218;18
219;219;18
220;220;18
221;221;18
222;222;18
223;223;19
224;224;19
225;225;19
226;226;19
227;227;19
228;228;19
229;229;19
230;230;19
231;231;19
232;232;20
233;233;20
234;234;20
235;235;20
236;236;20
237;237;20
238;238;20
239;239;20
240;240;21
241;241;21
242;242;21
243;243;21
244;244;21
245;245;21
246;246;21
247;247;21
248;248;21
249;249;21
250;250;21
251;251;22
252;252;22
253;253;22
254;254;22
255;255;22
256;256;22
257;257;22
258;258;22
259;259;22
260;260;22
261;261;23
262;262;23
263;263;23
264;264;23
265;265;23
266;266;23
267;267;23
268;268;23
269;269;23
270;270;23
271;271;23
272;272;23
273;273;23
274;274;24
275;275;24
276;276;24
277;277;24
278;278;24
279;279;24
280;280;24
281;281;24
282;282;24
283;283;24
284;284;24
285;285;24
286;286;24
287;287;24
288;288;24
289;289;25
290;290;25
291;291;25
292;292;25
293;293;25
294;294;25
295;295;25
296;296;26
297;297;26
298;298;26
299;299;26
300;300;26
301;301;26
302;302;26
303;303;26
304;304;26
305;305;26
306;306;26
307;307;26
308;308;26
309;309;26
310;310;26
311;311;27
312;312;27
313;313;27
314;314;27
315;315;27
316;316;27
317;317;27
318;318;27
319;319;27
320;320;27
321;321;27
322;322;28
323;323;28
324;324;28
325;325;28
326;326;28
327;327;28
328;328;28
329;329;28
330;330;29
331;331;29
332;332;29
333;333;29
334;334;29
335;335;29
336;336;29
337;337;29
338;338;29
339;339;29
340;340;29
341;341;30
342;342;30
343;343;30
344;344;30
345;345;30
346;346;30
347;347;30
348;348;30
349;349;30
350;350;30
351;351;30
352;352;31
353;353;31
354;354;31
355;355;31
356;356;31
357;357;31
358;358;31
359;359;31
360;360;31
361;361;31
362;362;31
363;363;31
364;364;31
365;365;31
366;366;31
367;367;32
368;368;32
369;369;32
370;370;32
371;371;32
372;372;32
373;373;32
374;374;32
375;375;32
376;376;32
377;377;32
378;378;32
379;379;32
380;380;32
381;381;32
382;382;32
383;383;33
384;384;33
385;385;33
386;386;33
387;387;33
388;388;33
389;389;33
390;390;33
391;391;33
392;392;33
393;393;33
394;394;33
395;395;33
396;396;33
397;397;34
398;398;34
399;399;34
400;400;34
401;401;34
402;402;34
403;403;34
404;404;34
405;405;34
406;406;35
407;407;35
408;408;35
409;409;35
410;410;35
411;411;35
412;412;35
413;413;35
414;414;35
415;415;35
416;416;35
417;417;36
418;418;36
419;419;36
420;420;36
421;421;36
422;422;36
423;423;36
424;424;37
425;425;37
426;426;37
427;427;37
428;428;37
429;429;37
430;430;37
431;431;37
432;432;37
433;433;38
434;434;38
435;435;38
436;436;38
437;437;38
438;438;38
439;439;38
440;440;39
441;441;39
442;442;39
443;443;39
444;444;39
445;445;39
446;446;39
447;447;39
448;448;39
449;449;39
450;450;40
451;451;40
452;452;40
453;453;40
454;454;40
455;455;40
456;456;40
457;457;40
458;458;40
459;459;40
460;460;41
